ID Caso,Código DANE de Municipio,Municipio,Departamento,Año,Mes,Día,ID Persona,Sexo,Etnia,Ocupación,Calidad de la Víctima o la Baja,Tipo de Población Vulnerable,Militante Político,Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Situación Actual de la Víctima,Fuente de Información de la Desaparición,Edad,latitud-longitud
231378,05120,CACERES,ANTIOQUIA,1996,8,24,252653,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-75.22369744 7.665155105)
231379,05480,MUTATA,ANTIOQUIA,1996,8,24,252654,HOMBRE,,MINERO,CIVIL,,,,,DESAPARECIDO,,ADOLESCENCIA (12-17 AÑOS),POINT (-76.55666008 7.277827327)
231380,05790,TARAZA,ANTIOQUIA,1996,8,24,252655,HOMBRE,,CAMPESINO,CIVIL,,,,,DESAPARECIDO,ENTIDAD PÚBLICA,ADULTEZ (29-59 AÑOS),POINT (-75.52280534 7.64124088)
231382,05001,MEDELLIN,ANTIOQUIA,1996,8,24,252656,HOMBRE,,COMERCIANTE,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-75.61103107 6.257590259)
231382,05001,MEDELLIN,ANTIOQUIA,1996,8,24,252657,HOMBRE,,COMERCIANTE,CIVIL,,,,,APARECIÓ MUERTO,ENTIDAD PÚBLICA,,POINT (-75.61103107 6.257590259)
231383,13654,SAN JACINTO,BOLIVAR,1996,8,25,252658,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,,,POINT (-75.10609201 9.835362011)
231385,27006,ACANDI,CHOCO,1996,8,25,252660,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,ADULTEZ (29-59 AÑOS),POINT (-77.26560256 8.383938499)
231387,18753,SAN VICENTE DEL CAGUAN,CAQUETA,1996,8,26,252662,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-74.88177685 2.699639042)
231389,54001,CUCUTA,NORTE DE SANTANDER,1996,8,26,252664,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-72.48862641 8.112041811)
231390,05847,URRAO,ANTIOQUIA,1996,8,26,252665,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.25906482 6.33534134)
